,Unnamed: 0,airline,departure,destination,layover,price,stops,travelTime,airlineCode,departureCode,destinationCode,layoverCode
0,0,American Airlines,CHS,CLT,DCA,240,1,10.88,61.0,67.0,75.0,25.0
1,1,American Airlines,CHS,CLT,LGA,264,1,7.28,61.0,67.0,75.0,6.0
2,2,United,CHS,CLT,IAD,264,1,3.72,24.0,67.0,75.0,10.0
3,3,United,CHS,CLT,ORD,287,1,7.77,24.0,67.0,75.0,71.0
4,4,United,CHS,CLT,ORD,287,1,7.9,24.0,67.0,75.0,71.0
5,5,Delta,CHS,CLT,JFK,296,1,6.08,81.0,67.0,75.0,52.0
6,6,Delta,CHS,CLT,JFK,302,1,6.77,81.0,67.0,75.0,52.0
7,7,Delta,CHS,CLT,JFK,302,1,10.43,81.0,67.0,75.0,52.0
8,8,Delta,CHS,CLT,ATL,311,1,3.32,81.0,67.0,75.0,45.0
9,9,Delta,CHS,CLT,ATL,311,1,3.43,81.0,67.0,75.0,45.0
10,10,Delta,CHS,CLT,ATL,311,1,3.5,81.0,67.0,75.0,45.0
11,11,Delta,CHS,CLT,ATL,311,1,3.8,81.0,67.0,75.0,45.0
12,12,Delta,CHS,CLT,ATL,311,1,3.87,81.0,67.0,75.0,45.0
13,13,Delta,CHS,CLT,ATL,311,1,4.77,81.0,67.0,75.0,45.0
14,14,Delta,CHS,CLT,ATL,311,1,4.8,81.0,67.0,75.0,45.0
15,15,Delta,CHS,CLT,ATL,311,1,4.87,81.0,67.0,75.0,45.0
16,16,Delta,CHS,CLT,ATL,311,1,5.33,81.0,67.0,75.0,45.0
17,17,Delta,CHS,CLT,ATL,311,1,5.8,81.0,67.0,75.0,45.0
18,18,Delta,CHS,CLT,ATL,311,1,5.87,81.0,67.0,75.0,45.0
19,19,Delta,CHS,CLT,ATL,311,1,6.33,81.0,67.0,75.0,45.0
20,20,Delta,CHS,CLT,ATL,317,1,6.83,81.0,67.0,75.0,45.0
21,21,Delta,CHS,CLT,ATL,317,1,6.87,81.0,67.0,75.0,45.0
22,22,Delta,CHS,CLT,ATL,317,1,7.83,81.0,67.0,75.0,45.0
23,23,American Airlines,CHS,CLT,DCA,319,1,4.67,61.0,67.0,75.0,25.0
24,24,American Airlines,CHS,CLT,ORD,322,1,6.57,61.0,67.0,75.0,71.0
25,25,United,CHS,CLT,ORD,322,1,8.18,24.0,67.0,75.0,71.0
26,26,American Airlines,CHS,CLT,MIA,329,1,6.97,61.0,67.0,75.0,64.0
27,27,American Airlines,CHS,CLT,MIA,334,1,8.9,61.0,67.0,75.0,64.0
28,28,JetBlue Airways,CHS,CLT,JFK,346,1,9.98,50.0,67.0,75.0,52.0
29,29,American Airlines,CHS,CLT,MIA,368,1,5.28,61.0,67.0,75.0,64.0
30,30,United,CHS,CLT,EWR,371,1,8.28,24.0,67.0,75.0,39.0
31,31,Delta,CHS,CLT,ATL,372,1,3.73,81.0,67.0,75.0,45.0
32,32,Delta,CHS,CLT,ATL,372,1,5.23,81.0,67.0,75.0,45.0
33,33,United,CHS,CLT,IAD,373,1,3.83,24.0,67.0,75.0,10.0
34,34,Delta,CHS,CLT,ATL,373,1,5.98,81.0,67.0,75.0,45.0
35,35,JetBlue Airways,CHS,CLT,BOS,379,1,6.82,50.0,67.0,75.0,21.0
36,36,JetBlue Airways,CHS,CLT,BOS,379,1,8.12,50.0,67.0,75.0,21.0
37,37,Delta,CHS,CLT,JFK,385,1,5.68,81.0,67.0,75.0,52.0
38,38,Delta,CHS,CLT,LGA,387,1,5.82,81.0,67.0,75.0,6.0
39,39,Delta,CHS,CLT,LGA,387,1,7.82,81.0,67.0,75.0,6.0
40,40,American Airlines,CHS,CLT,MIA,388,1,4.92,61.0,67.0,75.0,64.0
41,41,Delta,CHS,CLT,LGA,392,1,9.78,81.0,67.0,75.0,6.0
42,42,United,CHS,CLT,IAD,397,1,3.58,24.0,67.0,75.0,10.0
43,43,United,CHS,CLT,IAD,397,1,4.45,24.0,67.0,75.0,10.0
44,44,American Airlines,CHS,CLT,ZZZ,400,0,1.07,61.0,67.0,75.0,73.0
45,45,American Airlines,CHS,CLT,ZZZ,400,0,1.13,61.0,67.0,75.0,73.0
46,46,American Airlines,CHS,CLT,ZZZ,400,0,1.2,61.0,67.0,75.0,73.0
47,47,American Airlines,CHS,CLT,ZZZ,400,0,1.2,61.0,67.0,75.0,73.0
