,airline,departure,destination,layover,price,stops,travelTime
0,American Airlines,CHS,CLT,DCA,240,1,10.88
1,American Airlines,CHS,CLT,LGA,264,1,7.28
2,United,CHS,CLT,IAD,264,1,3.7199999999999998
3,United,CHS,CLT,ORD,287,1,7.77
4,United,CHS,CLT,ORD,287,1,7.9
5,Delta,CHS,CLT,JFK,296,1,6.08
6,Delta,CHS,CLT,JFK,302,1,6.77
7,Delta,CHS,CLT,JFK,302,1,10.43
8,Delta,CHS,CLT,ATL,311,1,3.32
9,Delta,CHS,CLT,ATL,311,1,3.43
10,Delta,CHS,CLT,ATL,311,1,3.5
11,Delta,CHS,CLT,ATL,311,1,3.8
12,Delta,CHS,CLT,ATL,311,1,3.87
13,Delta,CHS,CLT,ATL,311,1,4.77
14,Delta,CHS,CLT,ATL,311,1,4.8
15,Delta,CHS,CLT,ATL,311,1,4.87
16,Delta,CHS,CLT,ATL,311,1,5.33
17,Delta,CHS,CLT,ATL,311,1,5.8
18,Delta,CHS,CLT,ATL,311,1,5.87
19,Delta,CHS,CLT,ATL,311,1,6.33
20,Delta,CHS,CLT,ATL,317,1,6.83
21,Delta,CHS,CLT,ATL,317,1,6.87
22,Delta,CHS,CLT,ATL,317,1,7.83
23,American Airlines,CHS,CLT,DCA,319,1,4.67
24,American Airlines,CHS,CLT,ORD,322,1,6.57
25,United,CHS,CLT,ORD,322,1,8.18
26,American Airlines,CHS,CLT,MIA,329,1,6.97
27,American Airlines,CHS,CLT,MIA,334,1,8.9
28,JetBlue Airways,CHS,CLT,JFK,346,1,9.98
29,American Airlines,CHS,CLT,MIA,368,1,5.28
30,United,CHS,CLT,EWR,371,1,8.28
31,Delta,CHS,CLT,ATL,372,1,3.73
32,Delta,CHS,CLT,ATL,372,1,5.23
33,United,CHS,CLT,IAD,373,1,3.83
34,Delta,CHS,CLT,ATL,373,1,5.98
35,JetBlue Airways,CHS,CLT,BOS,379,1,6.82
36,JetBlue Airways,CHS,CLT,BOS,379,1,8.12
37,Delta,CHS,CLT,JFK,385,1,5.68
38,Delta,CHS,CLT,LGA,387,1,5.82
39,Delta,CHS,CLT,LGA,387,1,7.82
40,American Airlines,CHS,CLT,MIA,388,1,4.92
41,Delta,CHS,CLT,LGA,392,1,9.78
42,United,CHS,CLT,IAD,397,1,3.58
43,United,CHS,CLT,IAD,397,1,4.45
44,American Airlines,CHS,CLT,ZZZ,400,0,1.07
45,American Airlines,CHS,CLT,ZZZ,400,0,1.13
46,American Airlines,CHS,CLT,ZZZ,400,0,1.2
47,American Airlines,CHS,CLT,ZZZ,400,0,1.2
48,American Airlines,CHS,CLT,ZZZ,400,0,1.25
49,American Airlines,CHS,CLT,ZZZ,400,0,1.27
50,American Airlines,CHS,CLT,ZZZ,400,0,1.32
51,American Airlines,CHS,CLT,ZZZ,400,0,1.32
52,American Airlines,CHS,CLT,ZZZ,400,0,1.38
53,American Airlines,CHS,CLT,DCA,400,1,8.2
54,Delta,CHS,CLT,ATL,415,1,4.17
55,Delta,CHS,CLT,ATL,434,1,3.55
56,Delta,CHS,CLT,ATL,439,1,6.83
57,United,CHS,ORD,ZZZ,144,0,2.38
58,United,CHS,ORD,ZZZ,144,0,2.4
59,United,CHS,ORD,IAD,152,1,4.25
60,United,CHS,ORD,ZZZ,179,0,2.38
61,American Airlines,CHS,ORD,ZZZ,179,0,2.4
62,American Airlines,CHS,ORD,CLT,186,1,4.62
63,American Airlines,CHS,ORD,CLT,186,1,5.15
64,American Airlines,CHS,ORD,CLT,186,1,6.85
65,American Airlines,CHS,ORD,PHL,187,1,5.83
66,American Airlines,CHS,ORD,PHL,187,1,7.97
67,Delta,CHS,ORD,ATL,213,1,4.23
68,Delta,CHS,ORD,ATL,213,1,5.92
69,Delta,CHS,ORD,ATL,213,1,7.13
70,American Airlines,CHS,ORD,CLT,223,1,6.35
71,Delta,CHS,ORD,ATL,258,1,4.42
72,Delta,CHS,ORD,ATL,258,1,5.45
73,Delta,CHS,ORD,ATL,258,1,5.67
74,Delta,CHS,ORD,ATL,258,1,6.85
75,Delta,CHS,ORD,ATL,258,1,7.63
76,American Airlines,CHS,ORD,CLT,287,1,4.3
77,American Airlines,CHS,ORD,CLT,287,1,4.52
78,American Airlines,CHS,ORD,CLT,287,1,5.92
79,American Airlines,CHS,ORD,PHL,288,1,6.3
80,American Airlines,CHS,ORD,DFW,288,1,8.52
81,American Airlines,CHS,ORD,DFW,288,1,9.13
82,Delta,CHS,ORD,ATL,302,1,5.25
83,American Airlines,CHS,ORD,DFW,339,1,7.92
84,JetBlue Airways,CHS,ORD,JFK,346,1,9.08
85,American Airlines,CHS,ORD,CLT,357,1,4.15
86,American Airlines,CHS,ORD,CLT,357,1,4.38
87,American Airlines,CHS,ORD,CLT,357,1,4.47
88,American Airlines,CHS,ORD,CLT,357,1,5.38
89,American Airlines,CHS,ORD,CLT,357,1,5.87
90,American Airlines,CHS,ORD,CLT,357,1,5.88
91,JetBlue Airways,CHS,ORD,BOS,358,1,6.67
92,JetBlue Airways,CHS,ORD,BOS,358,1,7.97
93,American Airlines,CHS,ORD,PHL,358,1,6.32
94,American Airlines,CHS,ORD,PHL,358,1,7.83
95,Delta,CHS,ORD,ATL,385,1,3.98
96,Delta,CHS,ORD,ATL,385,1,4.02
97,Delta,CHS,ORD,ATL,385,1,4.5
98,Delta,CHS,ORD,ATL,385,1,4.88
99,Delta,CHS,ORD,ATL,385,1,5.82
100,Delta,CHS,ORD,ATL,385,1,7.05
101,JetBlue Airways,CHS,ORD,BOS,457,1,7.2
102,Delta,CHS,ORD,DTW,465,1,4.28
103,Delta,CHS,ORD,JFK,465,1,5.68
104,Delta,CHS,PHX,ATL,229,1,6.35
105,Delta,CHS,PHX,ATL,229,1,6.57
106,Delta,CHS,PHX,ATL,229,1,6.73
107,Delta,CHS,PHX,ATL,229,1,7.22
108,Delta,CHS,PHX,ATL,229,1,7.6
109,Delta,CHS,PHX,ATL,229,1,8.43
110,Delta,CHS,PHX,JFK,229,1,8.6
111,Delta,CHS,PHX,ATL,229,1,8.83
112,American Airlines,CHS,PHX,CLT,290,1,8.47
113,United,CHS,PHX,ORD,291,1,7.92
114,United,CHS,PHX,IAH,291,1,8.68
115,Frontier Airlines,CHS,PHX,DEN,312,1,7.0
116,United,CHS,PHX,IAH,317,1,8.97
117,Delta,CHS,PHX,ATL,319,1,6.52
118,Delta,CHS,PHX,ATL,319,1,6.6
119,Delta,CHS,PHX,ATL,319,1,7.52
120,Delta,CHS,PHX,ATL,319,1,8.28
121,Delta,CHS,PHX,ATL,319,1,8.52
122,Delta,CHS,PHX,DTW,319,1,9.37
123,American Airlines,CHS,PHX,CLT,331,1,6.63
124,JetBlue Airways,CHS,PHX,JFK,342,1,14.77
125,JetBlue Airways,CHS,PHX,BOS,366,1,8.97
126,JetBlue Airways,CHS,PHX,BOS,366,1,10.27
127,American Airlines,CHS,PHX,DFW,394,1,7.35
128,American Airlines,CHS,PHX,DFW,394,1,8.47
129,American Airlines,CHS,PHX,CLT,418,1,6.35
130,American Airlines,CHS,PHX,CLT,418,1,6.75
131,American Airlines,CHS,PHX,CLT,418,1,7.85
