,Unnamed: 0,Unnamed: 0.1,airline,departure,destination,layover,price,stops,travelTime,airlineDode,departureCode,destinationCode,layoverCode
0,0,0,American Airlines,CHS,CLT,DCA,240,1,10.88,72.0,27.0,9.0,81.0
1,1,1,American Airlines,CHS,CLT,LGA,264,1,7.28,72.0,27.0,9.0,7.0
2,2,2,United,CHS,CLT,IAD,264,1,3.72,39.0,27.0,9.0,11.0
3,3,3,United,CHS,CLT,ORD,287,1,7.77,39.0,27.0,9.0,5.0
4,4,4,United,CHS,CLT,ORD,287,1,7.9,39.0,27.0,9.0,5.0
5,5,5,Delta,CHS,CLT,JFK,296,1,6.08,62.0,27.0,9.0,56.0
6,6,6,Delta,CHS,CLT,JFK,302,1,6.77,62.0,27.0,9.0,56.0
7,7,7,Delta,CHS,CLT,JFK,302,1,10.43,62.0,27.0,9.0,56.0
8,8,8,Delta,CHS,CLT,ATL,311,1,3.32,62.0,27.0,9.0,88.0
9,9,9,Delta,CHS,CLT,ATL,311,1,3.43,62.0,27.0,9.0,88.0
10,10,10,Delta,CHS,CLT,ATL,311,1,3.5,62.0,27.0,9.0,88.0
11,11,11,Delta,CHS,CLT,ATL,311,1,3.8,62.0,27.0,9.0,88.0
12,12,12,Delta,CHS,CLT,ATL,311,1,3.87,62.0,27.0,9.0,88.0
13,13,13,Delta,CHS,CLT,ATL,311,1,4.77,62.0,27.0,9.0,88.0
14,14,14,Delta,CHS,CLT,ATL,311,1,4.8,62.0,27.0,9.0,88.0
15,15,15,Delta,CHS,CLT,ATL,311,1,4.87,62.0,27.0,9.0,88.0
16,16,16,Delta,CHS,CLT,ATL,311,1,5.33,62.0,27.0,9.0,88.0
17,17,17,Delta,CHS,CLT,ATL,311,1,5.8,62.0,27.0,9.0,88.0
18,18,18,Delta,CHS,CLT,ATL,311,1,5.87,62.0,27.0,9.0,88.0
19,19,19,Delta,CHS,CLT,ATL,311,1,6.33,62.0,27.0,9.0,88.0
20,20,20,Delta,CHS,CLT,ATL,317,1,6.83,62.0,27.0,9.0,88.0
21,21,21,Delta,CHS,CLT,ATL,317,1,6.87,62.0,27.0,9.0,88.0
22,22,22,Delta,CHS,CLT,ATL,317,1,7.83,62.0,27.0,9.0,88.0
23,23,23,American Airlines,CHS,CLT,DCA,319,1,4.67,72.0,27.0,9.0,81.0
24,24,24,American Airlines,CHS,CLT,ORD,322,1,6.57,72.0,27.0,9.0,5.0
25,25,25,United,CHS,CLT,ORD,322,1,8.18,39.0,27.0,9.0,5.0
26,26,26,American Airlines,CHS,CLT,MIA,329,1,6.97,72.0,27.0,9.0,62.0
27,27,27,American Airlines,CHS,CLT,MIA,334,1,8.9,72.0,27.0,9.0,62.0
28,28,28,JetBlue Airways,CHS,CLT,JFK,346,1,9.98,32.0,27.0,9.0,56.0
29,29,29,American Airlines,CHS,CLT,MIA,368,1,5.28,72.0,27.0,9.0,62.0
30,30,30,United,CHS,CLT,EWR,371,1,8.28,39.0,27.0,9.0,9.0
31,31,31,Delta,CHS,CLT,ATL,372,1,3.73,62.0,27.0,9.0,88.0
32,32,32,Delta,CHS,CLT,ATL,372,1,5.23,62.0,27.0,9.0,88.0
33,33,33,United,CHS,CLT,IAD,373,1,3.83,39.0,27.0,9.0,11.0
34,34,34,Delta,CHS,CLT,ATL,373,1,5.98,62.0,27.0,9.0,88.0
35,35,35,JetBlue Airways,CHS,CLT,BOS,379,1,6.82,32.0,27.0,9.0,96.0
36,36,36,JetBlue Airways,CHS,CLT,BOS,379,1,8.12,32.0,27.0,9.0,96.0
37,37,37,Delta,CHS,CLT,JFK,385,1,5.68,62.0,27.0,9.0,56.0
